,delta,tau,fname
4929,-6.396571124249237,29,LES
4930,-6.558135361043821,30,LES
4931,-6.567360447621871,31,LES
4932,-6.577255265035342,32,LES
4933,-6.587039726395239,33,LES
4934,-6.666133944739496,34,LES
4935,-6.853037090213527,35,LES
4936,-6.886476244289678,36,LES
4937,-6.912390365240042,37,LES
4938,-6.913682630170019,38,LES
4939,-7.072329729111999,39,LES
4940,-7.075645848207002,40,LES
4941,-7.163541148389243,41,LES
4942,-7.205572505238493,42,LES
4943,-7.231496448063067,43,LES
4944,-7.363616244776438,44,LES
4945,-7.363825915487564,45,LES
4946,-7.54944874185727,46,LES
4947,-7.570801090633237,47,LES
4948,-7.608921811772634,48,LES
4949,-7.655973018772128,49,LES
4950,-7.72492310879893,50,LES
4951,-7.73710278022392,51,LES
4952,-7.739433589373001,52,LES
4953,-7.793246014703869,53,LES
4954,-7.796356764522321,54,LES
4955,-7.849851426750334,55,LES
4956,-7.852033353144921,56,LES
4957,-7.884159402496687,57,LES
4958,-7.889844116530746,58,LES
4959,-7.989276318624854,59,LES
4960,-7.991258613597529,60,LES
4961,-8.052205000059757,61,LES
4962,-8.052492528044523,62,LES
4963,-8.11626334563259,63,LES
4964,-8.132521405466603,64,LES
4965,-8.13647754538833,65,LES
4966,-8.173435280935939,66,LES
4967,-8.182670507718498,67,LES
4968,-8.183731602418641,68,LES
4969,-8.211773929633335,69,LES
4970,-8.219406445139706,70,LES
4971,-8.26712409611936,71,LES
4972,-8.275982537765696,72,LES
4973,-8.304479461665448,73,LES
4974,-8.315224034843984,74,LES
4975,-8.327649970205304,75,LES
4976,-8.347173753441766,76,LES
4977,-8.35969558751059,77,LES
4978,-8.389566938264633,78,LES
4979,-8.391471171239676,79,LES
4980,-8.418734409408602,80,LES
4981,-8.443028011804408,81,LES
4982,-8.472362715561841,82,LES
4983,-8.512171288299719,83,LES
4984,-8.535402070693092,84,LES
4985,-8.65444986067202,85,LES
4986,-8.664986663193993,86,LES
4987,-8.692531952911224,87,LES
4988,-8.702490847616579,88,LES
4989,-8.774597291332254,89,LES
4990,-8.91525612774195,90,LES
4991,-8.919012270097573,91,LES
4992,-8.937726369358362,92,LES
4993,-8.95434256765988,93,LES
4994,-8.960269506461625,94,LES
4995,-9.001430844563524,95,LES
4996,-9.010119182178128,96,LES
4997,-9.042210693782696,97,LES
4998,-9.17207601000524,98,LES
4999,-9.289564451469547,99,LES
5000,-1.2972597262649732,0,LES
5001,-1.8420727748538008,1,LES
5002,-2.001951447839944,2,LES
5003,-2.219738257268719,3,LES
5004,-2.444754429864373,4,LES
5005,-2.686962319065916,5,LES
5006,-2.918090683105433,6,LES
5007,-3.215094626820126,7,LES
5008,-3.5578247449176446,8,LES
5009,-4.032125180788284,9,LES
5010,-4.666002219096252,10,LES
5011,-5.4227077105411965,11,LES
5012,-6.058839000466427,12,LES
5013,-6.143994329865958,13,LES
5014,-6.2268561414110914,14,LES
5015,-6.5349263384720455,15,LES
5016,-6.8344495074335665,16,LES
5017,-7.285976973264792,17,LES
5018,-7.377448079111826,18,LES
5019,-7.661868104572543,19,LES
5020,-7.854398536661365,20,LES
5021,-7.975837336302354,21,LES
5022,-8.131175503007112,22,LES
5023,-8.258260639831423,23,LES
5024,-8.652320179504695,24,LES
5025,-8.713531992938133,25,LES
5026,-8.728277101791337,26,LES
5027,-8.801727725010542,27,LES
5028,-8.957260122901038,28,LES
5029,-8.995101049151714,29,LES
5030,-9.059624875948222,30,LES
5031,-9.26788106331882,31,LES
5032,-9.284668557681664,32,LES
