,treatment,score,dimention
0,SHM,0.09863602029073071,0
1,SHM,0.41276748658901186,1
2,SHM,0.566284035057097,2
3,SHM,0.5738531169989198,3
4,SHM,0.49436027312239295,4
5,SHM,0.47595996697320797,5
6,SHM,0.4583885179718379,6
7,SHM,0.4598546579695886,7
8,SHM,0.4519135443098391,8
9,SHM,0.44518003466430833,9
10,SHM,0.4435359985830659,10
11,SHM,0.4446865942018958,11
12,SHM,0.4396940652097988,12
13,SHM,0.4488612876757725,13
14,SHM,0.4269011310505846,14
15,SHM,0.42419463941358804,15
16,SHM,0.41474150770749585,16
17,SHM,0.4118182017375849,17
18,SHM,0.39978423885246717,18
19,SHM,0.400516012760996,19
20,SHM,0.39917728547279074,20
21,SHM,0.38909159166316876,21
22,SHM,0.38302119459902206,22
23,SHM,0.3744251506094972,23
24,SHM,0.3718944065794624,24
25,SHM,0.372050331402203,25
26,SHM,0.3729097391677497,26
27,SHM,0.3715287104163376,27
28,SHM,0.36792916948989884,28
29,SHM,0.36828605811736326,29
30,SHM,0.37370035539792956,30
31,SHM,0.3709735920674069,31
32,SHM,0.37355885562846214,32
33,SHM,0.3716397676009344,33
34,SHM,0.36476384217520785,34
35,SHM,0.3607984083683271,35
36,SHM,0.35523020982237785,36
37,SHM,0.3547082526359363,37
38,SHM,0.35078024343517245,38
39,SHM,0.35358227660913233,39
40,SHM,0.3503407404308648,40
41,SHM,0.35243462292050365,41
42,SHM,0.34458572625697614,42
43,SHM,0.3438477886471485,43
44,SHM,0.3434379601187667,44
45,SHM,0.3420268497120581,45
46,SHM,0.3409638197896252,46
47,SHM,0.3399806690453755,47
48,SHM,0.34127114312855056,48
49,SHM,0.34157120659348983,49
50,SHM,0.33531282029761533,50
51,SHM,0.33414288832560146,51
52,SHM,0.3270134075039415,52
53,SHM,0.3257813853976128,53
54,SHM,0.3251952327681693,54
55,SHM,0.3265176420198612,55
56,SHM,0.3273769136371536,56
57,SHM,0.3242533038736011,57
58,SHM,0.3212084475057507,58
59,SHM,0.32008866176120987,59
60,SHM,0.31819786012383056,60
61,SHM,0.31672383712864527,61
62,SHM,0.3171310316036856,62
63,SHM,0.31465075117403907,63
64,SHM,0.3140993701676227,64
65,SHM,0.3143397206298799,65
66,SHM,0.31342549619421267,66
67,SHM,0.31185223995773037,67
68,SHM,,0
69,SHM,0.4514972960667549,1
70,SHM,0.6075394907760941,2
71,SHM,0.5413376385884463,3
72,SHM,0.4903645072019047,4
73,SHM,0.45084046147410783,5
74,SHM,0.43936123932333615,6
75,SHM,0.4255707427228347,7
