,treatment,score,dimention
113,LES,0.4226449039175847,45
114,LES,0.4221718532732107,46
115,LES,0.4200111381955317,47
116,LES,0.4184152768740367,48
117,LES,0.41653352139590083,49
118,LES,0.4170931490844918,50
119,LES,0.41728885641746083,51
120,LES,0.4147556456158916,52
121,LES,0.41504059706599006,53
122,LES,0.41400238613436846,54
123,LES,0.4145347587977165,55
124,LES,0.4146547286328346,56
125,LES,0.4135810275601164,57
126,LES,0.41397207668463265,58
127,LES,0.41425200070830404,59
128,LES,0.4140542069269537,60
129,LES,0.41339510643253663,61
130,LES,0.4138802677841026,62
131,LES,0.41447022600590244,63
132,LES,0.41582465346691355,64
133,LES,0.41668325559704866,65
134,LES,0.4171409336223235,66
135,LES,0.41820588234703215,67
136,SHM,,0
137,SHM,0.5793634134278729,1
138,SHM,0.6524736437392469,2
139,SHM,0.6608147391169283,3
140,SHM,0.6251859866106764,4
141,SHM,0.582594143057123,5
142,SHM,0.5848995434914711,6
143,SHM,0.6007661200814443,7
144,SHM,0.6012492872794033,8
145,SHM,0.6061074914255222,9
146,SHM,0.6084870724082964,10
147,SHM,0.6086983319837744,11
148,SHM,0.6121919545266641,12
149,SHM,0.6101342109013881,13
150,SHM,0.6099874462361883,14
151,SHM,0.6079291051730502,15
152,SHM,0.6037943102876382,16
153,SHM,0.6043261609417423,17
154,SHM,0.605722252877025,18
155,SHM,0.6065385292168535,19
156,SHM,0.6044055866025755,20
157,SHM,0.6030131201574744,21
158,SHM,0.5982023114298582,22
159,SHM,0.5997232223557691,23
160,SHM,0.5966617796464588,24
161,SHM,0.5953993052745458,25
162,SHM,0.5936414187806631,26
163,SHM,0.5920664447906658,27
164,SHM,0.5897658027502459,28
165,SHM,0.5871287194725052,29
166,SHM,0.5847669674779706,30
167,SHM,0.5835786334802883,31
168,SHM,0.582542954827705,32
169,SHM,0.580832552208233,33
170,SHM,0.5799886610116596,34
171,SHM,0.5799745153814058,35
172,SHM,0.5788655109886254,36
173,SHM,0.5764673059797554,37
174,SHM,0.5752704977554255,38
175,SHM,0.5746395986339051,39
176,SHM,0.5729231125879268,40
177,SHM,0.5732962533172521,41
178,SHM,0.5718182140782611,42
179,SHM,0.5709422582457027,43
180,SHM,0.5709138778009848,44
181,SHM,0.5705873267045936,45
