,treatment,score,dimention
0,SHM,,0
1,SHM,0.5793634134278729,1
2,SHM,0.6524736437392469,2
3,SHM,0.6608147391169283,3
4,SHM,0.6251859866106764,4
5,SHM,0.582594143057123,5
6,SHM,0.5848995434914711,6
7,SHM,0.6007661200814443,7
8,SHM,0.6012492872794033,8
9,SHM,0.6061074914255222,9
10,SHM,0.6084870724082964,10
11,SHM,0.6086983319837744,11
12,SHM,0.6121919545266641,12
13,SHM,0.6101342109013881,13
14,SHM,0.6099874462361883,14
15,SHM,0.6079291051730502,15
16,SHM,0.6037943102876382,16
17,SHM,0.6043261609417423,17
18,SHM,0.605722252877025,18
19,SHM,0.6065385292168535,19
20,SHM,0.6044055866025755,20
21,SHM,0.6030131201574744,21
22,SHM,0.5982023114298582,22
23,SHM,0.5997232223557691,23
24,SHM,0.5966617796464588,24
25,SHM,0.5953993052745458,25
26,SHM,0.5936414187806631,26
27,SHM,0.5920664447906658,27
28,SHM,0.5897658027502459,28
29,SHM,0.5871287194725052,29
30,SHM,0.5847669674779706,30
31,SHM,0.5835786334802883,31
32,SHM,0.582542954827705,32
33,SHM,0.580832552208233,33
34,SHM,0.5799886610116596,34
35,SHM,0.5799745153814058,35
36,SHM,0.5788655109886254,36
37,SHM,0.5764673059797554,37
38,SHM,0.5752704977554255,38
39,SHM,0.5746395986339051,39
40,SHM,0.5729231125879268,40
41,SHM,0.5732962533172521,41
42,SHM,0.5718182140782611,42
43,SHM,0.5709422582457027,43
44,SHM,0.5709138778009848,44
45,SHM,0.5705873267045936,45
46,SHM,0.5689101327203177,46
47,SHM,0.5685875096980807,47
48,SHM,0.5678673495526932,48
49,SHM,0.5659557092488046,49
50,SHM,0.5662105497822771,50
51,SHM,0.5663146146248179,51
52,SHM,0.5653042425334728,52
53,SHM,0.565331986577666,53
54,SHM,0.5640638687337866,54
55,SHM,0.5633293143489353,55
56,SHM,0.5622455636365415,56
57,SHM,0.5613235533813778,57
58,SHM,0.5594538346196195,58
59,SHM,0.5600720125053149,59
60,SHM,0.5587504639950325,60
61,SHM,0.5579170188838789,61
62,SHM,0.5558000971015725,62
63,SHM,0.5550923294178813,63
64,SHM,0.5550346405559092,64
65,SHM,0.5546419496559328,65
66,SHM,0.5531921180075304,66
