,treatment,score,dimention
86,D1A,0.32039847158624724,18
87,D1A,0.31864677007875775,19
88,D1A,0.3176954755032907,20
89,D1A,0.3112393151220165,21
90,D1A,0.30516871557463277,22
91,D1A,0.3063865121937348,23
92,D1A,0.3029197337252464,24
93,D1A,0.2984565688477082,25
94,D1A,0.2969023636726109,26
95,D1A,0.296107264446136,27
96,D1A,0.29553009406664166,28
97,D1A,0.291562313867729,29
98,D1A,0.292164264039139,30
99,D1A,0.29409734325973846,31
100,D1A,0.2876635441290759,32
101,D1A,0.2848500097468235,33
102,D1A,0.28320668691788453,34
103,D1A,0.2799986626739811,35
104,D1A,0.2793538549479333,36
105,D1A,0.2767873876040391,37
106,D1A,0.2744485695502463,38
107,D1A,0.271513590394057,39
108,D1A,0.2662584323325763,40
109,D1A,0.26594281943176845,41
110,D1A,0.2598416498408036,42
111,D1A,0.25747244859386065,43
112,D1A,0.25323568309134536,44
113,D1A,0.25127049766020193,45
114,D1A,0.24859417183731236,46
115,D1A,0.24481962048736505,47
116,D1A,0.23979751166501784,48
117,D1A,0.23853496158854914,49
118,D1A,0.23723826317056151,50
119,D1A,0.23495502643001398,51
120,D1A,0.23193551870427465,52
121,D1A,0.22999256407472712,53
122,D1A,0.22790556126879857,54
123,D1A,0.22694998394121813,55
124,D1A,0.22546289365059102,56
125,D1A,0.22597247614287297,57
126,D1A,0.22482651308944812,58
127,D1A,0.22356767178343862,59
128,D1A,0.22270693998522917,60
129,D1A,0.21886579024895347,61
130,D1A,0.21455422549122782,62
131,D1A,0.21196437411008107,63
132,D1A,0.21227669869610322,64
133,D1A,0.21159416027845457,65
134,D1A,0.20684331306191706,66
135,D1A,0.20692879597477565,67
136,D2K,,0
137,D2K,-0.011710185003340312,1
138,D2K,0.01531278555592852,2
139,D2K,-0.0024321465864258762,3
140,D2K,0.009837063914036825,4
141,D2K,0.0365667157688403,5
142,D2K,0.0570887670534469,6
143,D2K,0.03154686740741819,7
144,D2K,0.03120681439851214,8
145,D2K,0.0675271866411874,9
146,D2K,0.06669228981808761,10
147,D2K,0.075366870097056,11
148,D2K,0.06299346172768217,12
149,D2K,0.06457222434312893,13
150,D2K,0.06560991425524898,14
151,D2K,0.047992448974485735,15
152,D2K,0.04873676194985166,16
153,D2K,0.033190944957859125,17
154,D2K,0.03571943419837975,18
155,D2K,0.0408524901966798,19
156,D2K,0.031213585345011507,20
157,D2K,0.04423153811689917,21
158,D2K,0.0398964896789511,22
159,D2K,0.0341983685483882,23
160,D2K,0.036080872975916556,24
161,D2K,0.02057694390876119,25
162,D2K,0.024682447972980248,26
163,D2K,0.03058863589806704,27
164,D2K,0.03199451389813324,28
165,D2K,0.027605256013525148,29
166,D2K,0.026972045349750284,30
167,D2K,0.027876874838367427,31
168,D2K,0.03541307811731609,32
169,D2K,0.041519436871062854,33
170,D2K,0.03523892836623377,34
171,D2K,0.03579594591965085,35
172,D2K,0.03372659762987984,36
173,D2K,0.028375150254136616,37
174,D2K,0.028337957799442592,38
175,D2K,0.02710764672301247,39
176,D2K,0.02170904362827264,40
177,D2K,0.023112753508630512,41
178,D2K,0.02290289322065897,42
179,D2K,0.020325281263916195,43
180,D2K,0.016667220025446405,44
181,D2K,0.017124720456594966,45
182,D2K,0.018383400778301917,46
183,D2K,0.018143528553731025,47
184,D2K,0.017459501004195466,48
185,D2K,0.017558864146687614,49
186,D2K,0.016581506002601776,50
187,D2K,0.01768394721270239,51
188,D2K,0.01867920784563748,52
189,D2K,0.01616478231993157,53
190,D2K,0.015135370566889073,54
191,D2K,0.01607387704806429,55
192,D2K,0.018105317088671247,56
193,D2K,0.02014578876748585,57
194,D2K,0.019745756375059043,58
195,D2K,0.01997092157603053,59
196,D2K,0.020688206076706295,60
197,D2K,0.023365837327945393,61
198,D2K,0.023715387753912354,62
199,D2K,0.023482343949508544,63
200,D2K,0.023144803775443035,64
