scorer,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000
bodyparts,headR,headR,headR,headL,headL,headL,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,161.94222784042358,147.54146909713745,1.0,162.56211805343628,167.81599974632263,1.0,260.3068084716797,160.89670610427856,1.0
1,161.80745553970337,148.17227745056152,1.0,162.78941869735718,168.46238660812378,1.0,260.0229959487915,159.97127556800842,1.0
2,160.84132480621338,148.09518337249756,1.0,162.59982633590698,169.45997667312622,1.0,260.3589906692505,159.99333953857422,1.0
3,159.35109400749207,149.34625339508057,1.0,161.40102100372314,171.102294921875,1.0,259.6520686149597,159.87109780311584,1.0
4,156.34971264004707,150.54856491088867,1.0,158.89720821380615,172.0884771347046,1.0,258.0643091201782,158.8233699798584,1.0
5,153.81770277023315,153.65926504135132,1.0,157.9729641675949,174.62254810333252,1.0,257.1245393753052,157.6602964401245,1.0
6,153.28248023986816,156.13029289245605,1.0,157.6391773223877,177.8838930130005,1.0,254.53039121627808,156.77089309692383,1.0
7,149.1366310119629,161.42023038864136,1.0,156.91969895362854,181.94322872161865,1.0,252.09351921081543,153.1271629333496,1.0
8,147.6651550233364,165.67939949035645,1.0,155.97541427612305,185.64634227752686,1.0,249.20820474624634,149.59101486206055,1.0
9,146.6129608154297,170.09546947479248,1.0,155.64234149456024,188.7288818359375,1.0,245.0245485305786,144.3861083984375,1.0
10,145.32339000701904,172.32485485076904,1.0,155.41768598556519,191.75723695755005,1.0,239.21434235572815,140.29667854309082,1.0
11,142.44670510292053,175.66875457763672,1.0,154.6810245513916,194.10598230361938,1.0,234.4082474708557,135.60828566551208,1.0
12,139.95669555664062,178.50805234909058,1.0,153.89831829071045,196.62963390350342,1.0,229.41433560848236,130.94251012802124,1.0
13,138.30586409568787,182.73814296722412,1.0,152.28722476959229,199.31351685523987,1.0,225.73973035812378,129.10395765304565,1.0
14,135.99708795547485,187.01641702651978,1.0,151.03303599357605,202.42627573013306,1.0,221.3756412267685,127.99865531921387,1.0
15,134.68348169326782,190.0057897567749,1.0,150.5366358757019,205.5238790512085,1.0,217.17383480072021,127.9151713848114,1.0
16,134.41883730888367,193.6721043586731,1.0,150.96042275428772,208.60030555725098,1.0,213.25520169734955,129.79220533370972,1.0
17,134.25785732269287,200.1337070465088,1.0,151.2546625137329,214.21982383728027,1.0,210.83608627319336,130.95411729812622,1.0
18,133.6601060628891,206.6485948562622,1.0,152.17269086837769,219.11575555801392,1.0,206.8326334953308,133.8378038406372,1.0
19,133.47259211540222,212.3397455215454,1.0,153.24418592453003,223.7978925704956,1.0,202.22157621383667,136.20986557006836,1.0
20,135.0937271118164,218.7968773841858,1.0,155.17796516418457,227.97969913482666,1.0,197.86395585536957,139.65963411331177,1.0
21,137.01848936080933,223.46470260620117,1.0,158.058025598526,230.35016059875488,1.0,192.82413387298584,141.60315036773682,1.0
22,139.05331087112427,228.82260131835938,1.0,160.85955333709717,233.99637079238892,1.0,189.1502946615219,140.93918895721436,1.0
23,141.33660316467285,233.1843876838684,1.0,163.53208684921265,236.97368621826172,1.0,183.96426653862,140.7113733291626,1.0
24,144.18875122070312,236.466139793396,1.0,167.2344868183136,237.72247791290283,1.0,179.25702714920044,140.2088966369629,1.0
25,146.5840027332306,237.91159439086914,1.0,168.9326674938202,238.85472583770752,1.0,174.50131916999817,140.2414207458496,1.0
26,150.04020810127258,239.51705813407898,1.0,171.96287298202515,239.91903734207153,1.0,170.83468961715698,140.10619163513184,1.0
27,151.99620747566223,241.88125133514404,1.0,174.35041522979736,240.00169706344604,1.0,166.3424632549286,140.98798084259033,1.0
28,154.70854139328003,243.03737497329712,1.0,176.7024154663086,240.43650722503662,1.0,161.9114761352539,141.01636123657227,1.0
29,157.9745432138443,244.6426248550415,1.0,179.58296918869019,241.13779306411743,1.0,158.19927501678467,141.71698093414307,1.0
30,161.76669645309448,244.59375476837158,1.0,182.60911989212036,241.17435836791992,1.0,154.52560889720917,142.8352565765381,1.0
31,165.551362991333,246.6317377090454,1.0,187.24198532104492,243.46814250946045,1.0,153.84042501449585,144.69982290267944,1.0
32,168.384672164917,250.2725772857666,1.0,189.37096762657166,245.28015041351318,1.0,154.4187936782837,147.47191333770752,1.0
33,174.6841905117035,253.70202541351318,1.0,194.73737335205078,245.79102516174316,1.0,154.36079561710358,151.30820655822754,1.0
34,179.73356914520264,256.7844738960266,1.0,198.26051592826843,246.6207399368286,1.0,155.01110792160034,154.56480264663696,1.0
35,184.19828605651855,257.88288831710815,1.0,201.93319511413574,246.3843765258789,1.0,154.71616685390472,158.20470333099365,1.0
36,187.48782444000244,258.6970782279968,1.0,205.0881791114807,245.51005840301514,1.0,153.04920625686646,161.53191757202148,1.0
37,192.1148762702942,259.22326278686523,1.0,209.5339527130127,245.622953414917,1.0,150.35134601593018,165.5519323348999,1.0
38,197.22301924228668,260.69951152801514,1.0,213.70385694503784,246.667649269104,1.0,149.8305606842041,170.05680561065674,1.0
39,203.3202052116394,261.9934461116791,1.0,217.489426612854,246.44603729248047,1.0,149.81789100170135,173.76623153686523,1.0
40,208.31198596954346,260.88684368133545,1.0,223.0624120235443,244.58331871032715,1.0,150.94704699516296,178.50131464004517,1.0
41,211.94470150768757,260.45845794677734,1.0,227.05586862564087,243.2205696105957,1.0,151.52530360221863,182.31293487548828,1.0
42,217.6089644432068,258.6540069580078,1.0,231.30919742584229,239.7853081226349,1.0,151.06954050064087,184.4564995765686,1.0
43,223.9213309288025,257.7791414260864,1.0,235.60290667414665,238.3730697631836,1.0,150.90294671058655,185.96060228347778,1.0
44,228.19087409973145,257.5720114707947,1.0,238.7729160785675,237.75570678710938,1.0,151.6410140991211,188.02872562408447,1.0
45,233.7149863243103,255.8619384765625,1.0,242.87196969985962,235.034255027771,1.0,151.44425749778748,192.99886465072632,1.0
46,238.22379755973816,252.31090450286865,1.0,245.0635451078415,231.75703620910645,1.0,153.56238412857056,190.79346561431885,1.0
47,240.6748342514038,249.7496418952942,1.0,246.6795482635498,228.22096347808838,1.0,154.30994653701782,193.28131532669067,1.0
48,244.03168296813965,246.57371520996094,1.0,249.10772323608398,224.72489833831787,1.0,154.18110609054565,196.03658866882324,1.0
49,246.43004846572876,243.96161556243896,1.0,250.56885170936584,222.37598991394043,1.0,153.4010066986084,199.62623834609985,1.0
50,249.6176643371582,240.55287837982178,1.0,252.5078001022339,219.26626920700073,1.0,154.3711452484131,203.33370447158813,1.0
51,252.37651154398918,237.3032751083374,1.0,255.00087547302246,215.74275708198547,1.0,154.57314491271973,209.33471536636353,1.0
52,255.14972686767578,235.1503610610962,1.0,255.6060540676117,212.24022579193115,1.0,156.3653564453125,216.64234399795532,1.0
53,258.69556188583374,231.90289425849915,1.0,258.25929021835327,209.01133060455322,1.0,156.2104949951172,223.09816765785217,1.0
54,261.46370553970337,230.331130027771,1.0,260.3530429005623,208.06385135650635,1.0,157.54332780838013,228.29853439331055,1.0
55,265.60118532180786,227.76925897598267,1.0,262.477557182312,205.5659637451172,1.0,158.4430549144745,231.59454584121704,1.0
56,267.65468978881836,224.56957483291626,1.0,262.81102442741394,202.9874496459961,1.0,161.96525287628174,234.19656133651733,1.0
57,269.64349842071533,221.2584524154663,1.0,261.2310336828232,200.35483837127686,1.0,165.73590779304504,236.2636604309082,1.0
58,272.09343099594116,216.000084400177,1.0,261.6509429216385,196.8642406463623,1.0,168.80022621154785,236.95601272583008,1.0
59,273.4310493469238,211.38614988327026,1.0,260.5824406147003,192.43843936920166,1.0,173.35697257518768,236.47812938690186,1.0
60,273.0795464515686,205.44789123535156,1.0,259.48741817474365,187.93552684783936,1.0,176.30577039718628,235.69004249572754,1.0
61,271.29458832740784,200.96637868881226,1.0,258.11905312538147,183.04378604888916,1.0,179.3635926246643,236.05529499053955,1.0
62,268.7525271177292,197.38273525238037,1.0,255.57056760787964,179.58612298965454,1.0,180.94805544614792,236.12983417510986,1.0
63,270.10610580444336,192.80875492095947,1.0,255.75630474090576,175.86226224899292,1.0,181.58038341999054,236.3636064529419,1.0
64,271.72712111473083,189.45818996429443,1.0,256.0705056190491,173.1489953994751,1.0,182.502454996109,236.5504560470581,1.0
65,271.9714877605438,186.57472133636475,1.0,256.1277575492859,170.64019060134888,1.0,183.57622528076172,237.07182216644287,1.0
66,271.9493865966797,182.03721237182617,1.0,256.249285697937,166.23571681976318,1.0,184.27497482299805,237.63515949249268,1.0
67,270.99886679649353,178.91110277175903,1.0,254.65190625190735,162.92624425888062,1.0,186.4207456111908,237.86724948883057,1.0
68,271.0067353248596,174.5519437789917,1.0,255.25026512145996,159.8388638496399,1.0,188.34625682234764,236.9742660522461,1.0
69,271.06057834625244,170.52593898773193,1.0,255.16788339614868,155.59099340438843,1.0,190.51833963394165,237.1306610107422,1.0
