scorer,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000,DeepCut_resnet101_Three_pointMay8shuffle1_1030000
bodyparts,headR,headR,headR,headL,headL,headL,tail,tail,tail
coords,x,y,likelihood,x,y,likelihood,x,y,likelihood
0,261.3291645050049,184.2040238380432,1.0,277.4155535697937,170.24102878570557,1.0,201.02487230300903,122.10092353820801,1.0
1,260.93342208862305,184.04421663284302,1.0,276.889048576355,169.40038585662842,1.0,200.69729232788086,122.97726964950562,1.0
2,260.60018157958984,184.2943811416626,1.0,276.5657739639282,169.43366861343384,1.0,200.7599196434021,123.507887840271,1.0
3,259.7408905029297,184.58948802947998,1.0,276.417685508728,170.2019181251526,1.0,200.39993286132812,123.57904767990112,1.0
4,258.68918228149414,184.2428159713745,1.0,275.9850330352783,170.60041427612305,1.0,200.89802932739258,123.5588116645813,1.0
5,258.02652740478516,184.26433897018433,1.0,275.81191396713257,170.5305151939392,1.0,201.35361194610596,124.01394367218018,1.0
6,257.593955039978,184.26919317245483,1.0,275.9054980278015,171.16558074951172,1.0,201.735369682312,124.02801132202148,1.0
7,256.5487394332886,184.9877986907959,1.0,275.65519815683365,172.77467823028564,1.0,201.91792488098145,123.73675870895386,1.0
8,256.1752710342407,185.57161951065063,1.0,275.9069048985839,174.27936172485352,1.0,202.17293643951416,123.61892986297607,1.0
9,255.80328488349915,186.1612286567688,1.0,274.4393062591553,174.31824445724487,1.0,202.35296297073364,124.05118370056152,1.0
10,255.49566006660461,186.76816177368164,1.0,274.48106479644775,175.5300269126892,1.0,202.6672124862671,124.19398593902588,1.0
11,255.5611822605133,187.3911099433899,1.0,275.0752649307251,177.21827459335327,1.0,202.77691268920898,124.3989610671997,1.0
12,255.72820806503296,188.16744232177734,1.0,275.4723505973816,178.6816759109497,1.0,203.16704082489014,124.12002182006836,1.0
13,255.29716873168945,189.30541515350342,1.0,275.692939221859,181.02652740478516,1.0,203.1442477107048,124.29798221588135,1.0
14,255.44730257987976,190.6332302093506,1.0,275.1028093099594,183.07761669158936,1.0,203.76781699061394,124.58782291412354,1.0
15,255.47969841957092,191.59437918663025,1.0,275.03996419906616,183.82522892951965,1.0,204.12451811134815,125.17128944396973,1.0
16,255.4229235649109,192.5931158065796,1.0,275.2175078392029,184.8860945701599,1.0,204.64403873682022,125.37378787994385,1.0
17,256.02669382095337,193.83451986312866,1.0,275.48208475112915,186.07151889801025,1.0,205.29500699043274,125.53145980834961,1.0
18,256.20820569992065,195.3255114555359,1.0,275.6209716796875,186.95502853393555,1.0,205.91371154785156,126.05789852142334,1.0
19,256.5772852897644,195.90234279632568,1.0,276.1385567933321,188.4280071258545,1.0,206.34043288230896,126.0735673904419,1.0
20,257.05476903915405,196.80989933013916,1.0,276.4946596324444,188.73639106750488,1.0,206.91282987594604,125.88192558288574,1.0
21,257.0890374183655,197.04420852661133,1.0,276.6517878174782,189.00257205963135,1.0,207.29039406776428,125.96212387084961,1.0
22,257.1651568412781,197.6827573776245,1.0,276.92448419332504,189.69164180755615,1.0,207.58710598945618,126.07960224151611,1.0
23,257.8213653564453,198.73311614990234,1.0,277.3114711046219,190.13163089752197,1.0,207.80045795440674,126.37296295166016,1.0
24,258.09036922454834,198.81632018089294,1.0,278.1947202682495,190.3814296722412,1.0,207.8906397819519,126.7900972366333,1.0
25,258.2121162414551,199.4954972267151,1.0,278.7337682247162,191.10624408721924,1.0,207.89635133743286,126.806396484375,1.0
26,258.3521828651428,200.41709232330322,1.0,279.0133762359619,191.03676295280457,1.0,207.9266436100006,126.23398041725159,1.0
27,258.3990774154663,201.16479778289795,1.0,279.1195647716522,192.03801155090332,1.0,207.88409876823425,126.61101412773132,1.0
28,258.9471130371094,201.13547658920288,1.0,279.2554454803467,192.41154861450195,1.0,207.97012066841125,126.74379682540894,1.0
29,259.61155796051025,201.24549531936646,1.0,278.791218996048,191.9964668750763,1.0,208.3221287727356,127.08059525489807,1.0
30,260.72198486328125,201.4223895072937,1.0,278.98444962501526,190.9731206893921,1.0,208.93692064285278,127.730233669281,1.0
31,262.8011872768402,202.91323280334473,1.0,279.6078040599823,191.21152424812317,1.0,209.32588815689087,128.8707456588745,1.0
32,265.7749500274658,204.46705055236816,1.0,281.26800870895386,191.29013109207153,1.0,209.72089433670044,130.55208158493042,1.0
33,267.80820548534393,206.27828407287598,1.0,284.0374879837036,191.78114295005798,1.0,211.02970504760742,132.45335483551025,1.0
34,271.7019531726837,207.73288130760193,1.0,286.9110367298126,193.43038368225098,1.0,212.3811136186123,134.65854454040527,1.0
35,274.8397789001465,209.6293249130249,1.0,290.48266887664795,195.3099489212036,1.0,213.01047325134277,137.01882791519165,1.0
36,279.21201848983765,211.57490873336792,1.0,294.28787422180176,196.22758960723877,1.0,215.19503164291382,140.26875019073486,1.0
37,284.65364837646484,214.10981607437134,1.0,298.7686096429825,197.77574634552002,1.0,217.88570356369019,142.9181649684906,1.0
38,289.201060295105,216.28299140930176,1.0,303.45586371421814,199.87983536720276,1.0,220.88014781475067,146.82864093780518,1.0
39,294.39623498916626,218.39092874526978,1.0,307.85083293914795,201.0378875732422,1.0,224.2640519142151,150.23512840270996,1.0
40,299.39994287490845,219.64258575439453,1.0,311.6182713508606,202.5739459991455,1.0,227.35708904266357,151.9594464302063,1.0
41,302.9902102947235,221.5505542755127,1.0,316.14451967179775,204.7004518508911,1.0,230.03580474853516,155.18701553344727,1.0
42,306.2279987335205,223.62227988243103,1.0,319.0755054950714,207.4027223587036,1.0,231.47534656524658,157.52627182006836,1.0
43,309.3521296977997,225.24891710281372,1.0,322.7100396156311,209.42633962631226,1.0,232.85569953918457,160.99328660964966,1.0
44,313.1591944694519,227.74571561813354,1.0,326.16470408439636,211.59874534606934,1.0,234.70946311950684,164.36638927459717,1.0
45,316.33926966786385,230.01366138458252,1.0,329.57004261016846,214.44637870788574,1.0,235.61842107772827,167.95583820343018,1.0
46,318.93874073028564,232.04511833190918,1.0,332.8671293258667,216.0500693321228,1.0,237.8505815267563,170.92763090133667,1.0
47,321.749388217926,233.55574750900269,1.0,334.90034532546997,217.37482738494873,1.0,240.24276494979858,173.11115169525146,1.0
48,324.52239418029785,235.40521097183228,1.0,337.5139045715332,218.9338436126709,1.0,241.47703623771667,175.7626132965088,1.0
49,326.67423486709595,237.4764986038208,1.0,340.83721047639847,221.77200508117676,1.0,243.4100489616394,178.7426290512085,1.0
50,330.1036491394043,240.5488486289978,1.0,343.48164081573486,224.2489161491394,1.0,245.95306181907654,181.01569652557373,1.0
51,333.4263805150986,242.74451684951782,1.0,346.2144856452942,227.31898593902588,1.0,247.76550889015198,183.47496485710144,1.0
52,336.2463889122009,244.56287288665771,1.0,348.9564105272293,229.07353496551514,1.0,249.69231414794922,186.0787558555603,1.0
53,336.8259735107422,246.49266719818115,1.0,350.66277551651,230.78410148620605,1.0,252.59087598323822,189.5181589126587,1.0
54,338.8017520904541,248.76751041412354,1.0,352.03390550613403,231.99576830863953,1.0,255.10909724235535,190.95830988883972,1.0
55,339.5908079147339,250.36925315856934,1.0,353.34477615356445,232.74082326889038,1.0,257.3235445022583,192.62633562088013,1.0
56,341.10216903686523,251.68609380722046,1.0,354.86880588531494,234.0967035293579,1.0,260.0525789260864,193.3365831375122,1.0
57,343.14250349998474,252.5544090270996,1.0,357.3639144897461,234.58563804626465,1.0,263.54496359825134,195.16203784942627,1.0
58,344.9496417045593,252.91744422912598,1.0,359.33384585380554,234.72311782836914,1.0,265.2378439903259,196.56395149230957,1.0
59,345.7740397453308,252.77289009094238,1.0,360.13712644577026,234.771831035614,1.0,267.18085223436356,197.18849754333496,1.0
60,345.33039236068726,252.36992835998535,1.0,360.2219047546387,234.56659364700317,1.0,268.8809544444084,197.76753044128418,1.0
61,344.27066135406494,252.20790576934814,1.0,360.65829277038574,235.4846396446228,1.0,270.47917652130127,198.52138924598694,1.0
62,343.62870478630066,252.25298976898193,1.0,361.2572546005249,236.73352909088135,1.0,271.1857101917267,199.6422402858734,1.0
63,342.65236616134644,252.8871669769287,1.0,360.6514616012573,238.3623514175415,1.0,271.4552526473999,200.98252964019775,1.0
64,341.99793207645416,253.964129447937,1.0,359.96272110939026,239.17912554740906,1.0,271.92255783081055,202.18142175674438,1.0
65,340.7422735095024,254.49256324768066,1.0,359.0559675693512,240.43795680999756,1.0,271.7593162059784,204.20617771148682,1.0
66,339.6559844017029,254.86816310882568,1.0,357.9774127006531,240.6110339164734,1.0,271.1764895915985,204.9757719039917,1.0
67,338.2046571969986,255.09618186950684,1.0,356.85903453826904,241.76902770996094,1.0,270.0554986000061,205.21237087249756,1.0
68,337.65656185150146,255.8174340724945,1.0,355.93434858322144,243.0093264579773,1.0,269.17528557777405,205.60150718688965,1.0
69,337.27068519592285,257.1159749031067,1.0,355.92733877152205,244.7061424255371,1.0,268.7925223708153,205.68280029296875,1.0
