,log_lyp,lyp,dim,treatment,animal
0,0.6889543868553089,1.9916319675664096,3,LES,1010
1,-1.1291686230646907,0.32330193049021655,5,LES,1010
2,-1.6499384889400206,0.19206172217753079,7,LES,1010
3,-2.831592242283041,0.05891896567464571,9,LES,1010
4,-3.731921895196765,0.023946768403327167,11,LES,1010
5,-3.886622908062324,0.020514508569587617,13,LES,1010
6,-3.949578464832427,0.019262820020269023,15,LES,1010
7,-3.969492811135934,0.018883007958180882,17,LES,1010
8,-4.056688740676232,0.017306229758081375,19,LES,1010
9,-4.056417022546521,0.017310932813387338,21,LES,1010
10,-4.073095109069113,0.017024613841243014,23,LES,1010
11,-4.126984251855488,0.01613145394290573,25,LES,1010
12,-4.12108791743323,0.01622685136122296,27,LES,1010
13,-4.04916406941131,0.017436944624281834,29,LES,1010
14,-4.08411424093045,0.01683804716559764,31,LES,1010
15,1.0153648840883038,2.7603704288875464,3,LES,0910
16,-1.572559579799728,0.20751335502842558,5,LES,0910
17,-1.5694605303735523,0.2081574466927078,7,LES,0910
18,-3.147049479130067,0.04297874967143556,9,LES,0910
19,-4.368687849156852,0.012667851799821049,11,LES,0910
20,-4.56206911485528,0.010440434121685169,13,LES,0910
21,-4.361002848267717,0.012765579289111697,15,LES,0910
22,-4.7981211355120985,0.008245224163642343,17,LES,0910
23,-4.794261127199186,0.008277112302102064,19,LES,0910
24,-4.779642855330874,0.008398998089293007,21,LES,0910
25,-4.772078680578242,0.008462770467222625,23,LES,0910
26,-4.58429042561426,0.010210992676617027,25,LES,0910
27,-4.7892410341283105,0.008318768648100732,27,LES,0910
28,-4.789929353797554,0.008313044646213897,29,LES,0910
29,-4.688533963310436,0.009200164052336349,31,LES,0910
30,1.1376548593463565,3.1194442449811493,3,SKF,1830
31,-1.760781604158061,0.17191044537996347,5,SKF,1830
32,-1.9887033022315344,0.13687279306990738,7,SKF,1830
33,-2.6499051153062996,0.0706579170971906,9,SKF,1830
34,-4.231935990918112,0.014524244506509418,11,SKF,1830
35,-4.234260806471826,0.014490517536657324,13,SKF,1830
36,-4.23045560825209,0.01454576186934974,15,SKF,1830
